song_title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
seven bridges road - live; 1999 remaster,Eagles,spotify:track:1osAmhnIT0rtuqLZ1IliBQ,0.35600000000000004,0.331,7,-11.065,1,0.0435,0.445,0.0,0.8909999999999999,0.263,111.995,1
walk like an egyptian,The Bangles,spotify:track:1Jwc3ODLQxtbnS8M9TflSP,0.7240000000000001,0.8909999999999999,11,-7.818,1,0.0995,0.00344,4.72e-05,0.3,0.818,103.022,0
a girl like you,Edwyn Collins,spotify:track:6XOINCZBv8Q7RXgNNiTwIN,0.619,0.7809999999999999,5,-7.455,0,0.0393,0.0243,0.000286,0.402,0.5329999999999999,126.26700000000001,0
wonderwall - remastered,Oasis,spotify:track:5wj4E6IsrVtn8IBJQOd0Cl,0.37200000000000005,0.865,2,-4.918,1,0.0381,0.000453,0.0,0.23399999999999999,0.478,174.53,0
kiss from a rose,The Arrival,spotify:track:32VpEzX4WLd2SDFJrbmWbL,0.415,0.748,1,-5.294,1,0.0341,0.000212,0.000101,0.529,0.33799999999999997,131.892,0
you sexy thing - remix,Hot Chocolate,spotify:track:7lF0hDHOk5sa1Ml2fafN9J,0.688,0.843,5,-6.231,0,0.0486,0.0506,0.0007639999999999999,0.321,0.867,106.516,0
as i lay me down,Sophie B. Hawkins,spotify:track:6S8ZXzeXsfCj8qi9179McI,0.519,0.737,10,-8.7,1,0.0437,0.645,1.77e-06,0.271,0.6679999999999999,82.999,1
sinnerman,Nina Simone,spotify:track:75lnIEQ3aQmKPES7V9UWA1,0.436,0.529,11,-13.818,0,0.10300000000000001,0.636,1.22e-05,0.0849,0.685,147.361,1
sweet child o' mine,Guns N' Roses,spotify:track:4MhTFsyqIJnjsOweVcU8ug,0.449,0.9009999999999999,6,-7.711,1,0.0526,0.141,0.0675,0.128,0.696,125.148,0
brown eyed girl,Van Morrison,spotify:track:3yrSvpt2l1xhsV9Em88Pul,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.9079999999999999,150.566,0
where i come from,Alan Jackson,spotify:track:6ej1QJ8eIYmhsyTlvgDajy,0.726,0.631,11,-8.136000000000001,0,0.0334,0.22,0.0,0.193,0.746,124.711,0
what was i thinkin',Dierks Bentley,spotify:track:0r8iDf65NHgFgZOGLwj5r8,0.551,0.825,5,-6.24,0,0.044000000000000004,0.152,6.2e-06,0.0999,0.9329999999999999,164.857,0
the rose,Bette Midler,spotify:track:5iUzEn2QzBW0KEWNQO1KQC,0.258,0.0971,0,-13.002,1,0.0302,0.94,0.0,0.122,0.0767,65.346,1
every rose has its thorn - remastered 2003,Poison,spotify:track:43GS3mtezoIFiuIZCLLiDY,0.5329999999999999,0.637,6,-5.571000000000001,1,0.0323,0.16,1.12e-05,0.369,0.292,140.167,0
"six, six, six - remix",DeGarmo & Key,spotify:track:4Xaxo87vsoPM0xF6UwcuaD,0.725,0.528,9,-11.269,0,0.0283,0.158,9.9e-05,0.105,0.544,98.598,1
you are loved,Altar Boys,spotify:track:1MITsJMvdf4RKlhwmcuPEM,0.505,0.868,0,-10.796,1,0.0436,0.0795,0.0,0.318,0.742,145.29399999999998,0
breakeven,The Script,spotify:track:38xWaVFKaxZlMFvzNff2aW,0.627,0.6990000000000001,10,-4.504,1,0.0244,0.174,0.0,0.0789,0.535,94.00299999999999,0
mmmbop,Hanson,spotify:track:0YYbQESOOReEZjVzbYJtMC,0.685,0.948,9,-5.182,1,0.0457,0.00513,0.0034700000000000004,0.17,0.628,104.881,0
hearts lost in nowhere,Altar Boys,spotify:track:0V5YXAdzGswarumTwkeAz3,0.35600000000000004,0.7929999999999999,9,-10.729000000000001,1,0.0806,0.000603,3.34e-05,0.121,0.633,190.29,0
live like you were dying,Tim McGraw,spotify:track:5uaTGZyDMK1iZ9eW1qeBEX,0.41600000000000004,0.546,7,-7.728,1,0.0297,0.49200000000000005,0.0,0.0845,0.418,159.929,1
you're no good,Linda Ronstadt,spotify:track:23DZLSxCK6kM8FF2RlzKDl,0.669,0.52,8,-10.136000000000001,1,0.0345,0.245,0.00535,0.126,0.634,104.81200000000001,1
for those about to rock (we salute you),AC/DC,spotify:track:17lu4tymfnhmcIDlzBbtAb,0.37,0.919,4,-5.721,1,0.102,0.000376,0.419,0.49,0.47100000000000003,134.02100000000002,0
schadenfreude,Natalie Venetia Belcon,spotify:track:0fajMX89sy4Z2fGq2GxxHq,0.622,0.496,2,-6.064,1,0.207,0.7,0.0,0.106,0.561,149.165,0
paradise by the dashboard light,Meat Loaf,spotify:track:2g7gviEeJr6pyxO7G35EWQ,0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.49200000000000005,173.38099999999997,0
